Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Dignissimos aut alias nisi praesentium.,2024-04-13,2024-05-19,"Qui illo doloremque dolor sint.
Magnam enim repellendus quasi. Neque quo repellendus dolores soluta voluptates.",Aprendizaje Profundo|Programacion Paralela,"9000204-4|Ramon Gamez Rivero|jose-carlos29@example.net, 9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net, 9000231-1|Patricia Aranda|gollumsusana@example.net","9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000160-2|Camilo Florez|gbustos@example.com, 9000135-9|Renato Carmona Espino|quintanahumberto@example.com",20|95|60,Sed error provident rem totam natus voluptas nam consequatur.|Ducimus ex aspernatur ipsum fuga modi repudiandae amet fugiat.|Nobis sit deleniti quis quam nam laboriosam sit ex vero accusamus vel vitae.
Quia quidem totam possimus.,2023-10-28,2023-11-13,Totam mollitia quod fugit modi facere. Facere sunt iure rem quam.,Ingenieria de Software|Analisis Forense Digital,"9000265-3|Cristian Gallegos|pedrozalorenzo@example.com, 9000071-5|Lic. Silvano Guajardo|jvergara@example.org, 9000124-2|Ines Esparza|reinaolivera@example.org","9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com, 9000027-7|Horacio Noelia Otero Torrez|chernandes@example.net, 9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org",9|91|36,Vitae odit laudantium cumque recusandae cumque quam laborum totam molestiae odit animi.|Saepe asperiores repellendus aliquid ab consequuntur.|Doloremque provident ab magni fuga nulla pariatur nulla laboriosam laborum ab mollitia accusamus min
Modi enim magnam praesentium inventore.,2024-08-24,2024-09-15,Ullam minima dolores nulla. Repellendus eaque id fuga illo.,Arquitectura de Computadores,"9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000230-5|Jeronimo Veronica Cordero Gracia|concepcionfrancisco@example.org, 9000236-7|Mariano Quintanilla Madrigal|rosa05@example.net, 9000175-9|Alicia Indira Camacho|clemente20@example.com",49|88|19,Natus similique atque minus aliquam distinctio sint suscipit labore aliquid.|Placeat eligendi molestiae omnis debitis sed.|Vero nesciunt quibusdam quae id aspernatur.
Natus necessitatibus sed perspiciatis.,2023-07-23,2023-08-19,Fugit qui ratione porro aspernatur quia. Amet ipsa saepe excepturi quisquam veritatis. Voluptas eveniet odio quos iste dolorem.,Sistemas Operativos|Analisis de Sistemas|Blockchain,"9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000286-6|Camila Maria Teresa Carvajal|modestolovato@example.net","9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com, 9000224-1|Catalina Pilar Balderas Villa|yuridia16@example.com, 9000023-K|Alvaro Partida|zoe37@example.net",53|49|98,Deleniti ipsum mollitia illum ad explicabo at.|Quos sint accusamus impedit quod quam nam voluptatibus doloribus maxime placeat cumque eaque.|Laudantium aperiam ipsa in laborum asperiores dolorum doloribus numquam.
Nulla itaque consequatur ab id sapiente fugit similique.,2024-08-15,2024-09-21,Inventore reprehenderit officiis nisi error nobis. Laboriosam debitis id eum quasi. Voluptas quos eveniet eligendi ratione facilis ut.,Visualizacion de Datos|Redes|Analisis Forense Digital,"9000022-3|Mtro. Abelardo Leyva|rodrigo97@example.org, 9000223-0|Sr(a). Rosa Pichardo|anguianoaurelio@example.org","9000040-6|Cynthia Irene Garza|norma41@example.com, 9000076-K|Sessa Manuel Laureano Baez|palominojose@example.net, 9000033-5|Fernando Cisneros|arteagagregorio@example.com",53|68|95,Doloribus omnis quaerat ratione asperiores voluptatibus laboriosam id magni.|Molestiae ratione facere tempora modi odit assumenda quisquam omnis explicabo officia.|Natus officia officia vitae ex recusandae.
Ab ea magni maxime.,2024-07-18,2024-08-19,Ut qui maiores mollitia. Nam vero doloremque illo delectus odit.,Teoria de la Computacion|Tecnologias Moviles|Ciberseguridad,9000082-K|Georgina Israel Maya|chavarriacornelio@example.org,"9000153-4|Mtro. Martin Alfaro|isabel16@example.net, 9000126-7|Benito Chapa|urbinacristina@example.com, 9000045-4|Andrea Rolon Rangel|nelly91@example.com",49|43|85,Nostrum nesciunt expedita sapiente nulla repellendus provident error nostrum assumenda.|Est dolores blanditiis fuga consequuntur harum nisi.|Fugit delectus odio possimus officia voluptatum mollitia laudantium consequuntur et iste amet facere
Laborum deserunt fugit.,2023-11-13,2024-01-06,"Molestias voluptatibus aut rerum quibusdam error.
Ea similique assumenda sint blanditiis repellat distinctio.",Sistemas Embebidos|Automatizacion de Procesos|Mineria de Datos,"9000185-9|Ana Maria de Anda|yacevedo@example.com, 9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com","9000105-3|Mtro. Adriana Delgado|amelia26@example.net, 9000262-5|Lic. Felix Crespo|reynaldo53@example.org, 9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org",84|3|10,Praesentium consequatur corporis eum dolorum sapiente hic.|Neque eaque impedit iste odio sunt at.|Quibusdam possimus soluta iste laborum neque sit sed at voluptas odio possimus.
Recusandae id voluptas repudiandae.,2024-03-10,2024-03-22,Eum eligendi molestias consectetur sequi. Tempora quis aliquid numquam saepe accusamus. Ipsam a vero dicta.,Realidad Aumentada|Machine Learning|Compiladores,9000216-5|Yeni Tamez|margarita98@example.com,"9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000276-7|Maria Cristina de Leon Rael|mayayeni@example.com, 9000064-1|Lic. Maria Teresa Lerma|hsandoval@example.com",58|41|43,Provident a labore consequatur dolorem perspiciatis ab.|Repellendus voluptates in consequatur architecto fugit quas aut et sunt.|Fugit repellendus soluta odit perspiciatis architecto natus.
Officiis ipsam quam occaecati corrupti illum placeat similique.,2024-11-30,2025-01-23,Consequuntur commodi quas expedita. Et consequuntur eius assumenda mollitia nobis.,Arquitectura de Computadores|Analisis Forense Digital,"9000165-K|Concepcion Vanesa Adame|pizarroestefania@example.org, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000267-8|Ing. Juan Ortega|clemente40@example.com, 9000157-0|Concepcion Ruben Acevedo Lebron|catalinatoledo@example.com, 9000025-6|Lic. Oliver Najera|vallebruno@example.org",6|44|28,Accusantium architecto ea aliquam aperiam ratione.|Enim quae quisquam incidunt illo odit modi corrupti assumenda aspernatur ullam voluptate.|Modi hic odio rerum perspiciatis architecto praesentium.
Animi assumenda ipsa iste non.,2023-05-09,2023-05-12,"Blanditiis provident praesentium cum. Minima quos quam cumque consectetur quos.
Quo adipisci rem earum. Ea voluptate occaecati libero.",Analisis de Sistemas|Analisis de Vulnerabilidades|Redes Neuronales,9000233-3|Sonia Velasquez|juan-carlossaldana@example.com,"9000208-5|Lic. Cristian Curiel|sofiade-jesus@example.net, 9000006-2|Blanca Virginia Alvarez|adelamuniz@example.org, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com",30|16|60,Rem quae omnis dolore dolorum totam eum repudiandae nemo blanditiis perferendis amet dolore.|Voluptatem veritatis architecto iure eligendi sapiente eveniet mollitia ab dicta natus esse.|Doloribus fuga voluptas voluptatum quod quasi molestias recusandae corrupti ut ad molestiae odio.
